Datum/Uhrzeit;Benutzer;Transponder-Nummer;Ort des Ereignisses;Ereignis;Details;;;;;;
24.03.2025 07:44;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 07:31;3, Person;4444444;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.03.2025 06:57;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
24.03.2025 06:25;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
24.03.2025 06:25;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
21.03.2025 13:55;Unknown;;Personal Tür;Security System;Scharf;;;;;;
21.03.2025 13:55;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.03.2025 12:54;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.03.2025 12:27;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.03.2025 07:39;5, Person;5555555;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.03.2025 07:30;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.03.2025 06:58;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
21.03.2025 06:21;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
21.03.2025 06:21;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
20.03.2025 17:53;Unknown;;Personal Tür;Security System;Scharf;;;;;;
20.03.2025 17:53;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.03.2025 17:37;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.03.2025 17:29;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.03.2025 17:01;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.03.2025 07:28;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.03.2025 07:17;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.03.2025 07:00;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
20.03.2025 06:29;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
20.03.2025 06:29;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
19.03.2025 18:02;Unknown;;Personal Tür;Security System;Scharf;;;;;;
19.03.2025 18:02;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.03.2025 18:01;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.03.2025 17:32;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.03.2025 17:03;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.03.2025 07:27;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.03.2025 07:27;1, Person;9999999;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.03.2025 07:23;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.03.2025 06:59;2, Person;2222222;Personal Tür (Eintritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
19.03.2025 06:22;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
19.03.2025 06:22;Unknown;;Personal Tür;Security System;Unscharf;;;;;;
18.03.2025 17:56;Unknown;;Personal Tür;Security System;Scharf;;;;;;
18.03.2025 17:56;Unknown;;Personal Tür;Zutritt gewährt;Mit Austritts-Taster;;;;;;
18.03.2025 17:54;5, Person;5555555;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.03.2025 17:43;1, Person;9999999;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
18.03.2025 17:02;2, Person;2222222;Personal Tür (Austritt);Zutritt gewährt - Nur Transponder;Kein Zutritt erfolgt;;;;;;
